Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance,Population,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Median Sales Price
$'000s",Mean Sales Price,Annual median salesprice change,Annual change in sales Count,"Sales
No.",No. 1 Bedroom rented,No. 2 Bedroom rented,No. 3 Bedroom rented,No. 4 or more Bedrooms rented,No. Bedsitter rented,No. Not Specified rented,No. Total rents,"Median Weekly Rent for New Bonds
$",Annual change in Median Weekly Rent,Annual change in New Bonds Lodged,"New Bonds Lodged
No.","Total Bonds Held
No.",sum of speeding fines paid in 2015($),SalesNo
2019,7579,7579,68866,58360,0.87,6617,71656,63243,0.18,1329,-2041,-2461,7579,71825,61189,7579,2896,1345,0.09,683,82372,33568,0.09,647,59519,14451,0.84,6372,19828,14722,8639,114854,59294,8900,6805,6767,445261659,5928,98502941.98,5256,8074186.07,138,162645.29,5256,8236454.88,5676,104722701.4,244,1450936,919,1002,0.0876,0,44,383,697,284,82,5,73,1526,564.8571429,-0.0377,-0.149157143,214,3050,51572,44
2020,12022,12022,57730,47944,0.87,10422,61028,53606,0.17,2004,-3305,-3199,12022,59976,49916,12022,2201,800,0.09,1099,62299,25230,0.08,999,47066,10580,0.79,9446,16655,11596,13328,74492,25535,10178,10931,10853,627657801,9114,131708329.6,7239,10508115.01,200,232057.48,7244,10739147.24,8633,139699068.2,330,1793133,970,1017,0.0899,0.1887,63,1056,1986,681,81,20,120,3936,586.5714286,-0.075857143,0.046385714,927,7880,95333,63
2021,11043,11043,134514,72186,0.78,8578,111684,74854,0.19,2076,1340,-18,11043,140138,75726,11043,5314,1119,0.12,1346,150360,32814,0.12,1272,80744,13662,0.84,9325,53917,20543,14036,247446,52058,14239,11079,10990,1392092130,9747,443743403.3,8607,26440869.37,344,483062.89,8598,26901010.28,9318,471503371.1,344,1850873,1871,2217,0.0616,0.34,67,1039,969,612,209,287,272,3388,716.7142857,-0.057214286,0.360071429,753,6776,52338,67
2022,9633,9633,97562,56602,0.77,7456,85908,60778,0.17,1595,5726,2118,9633,101251,59501,9633,3505,831,0.11,1100,105885,30432,0.1,1002,55186,13077,0.81,7844,36770,15955,12526,158794,23309,11594,9543,9480,846367735,8123,238663667.2,6436,15120295.05,249,315662.16,6428,15422408.16,7624,252512881,237,1420953,1575,1614,0.0995,0.1522,53,842,1038,403,127,135,175,2720,781.5714286,-0.019242857,0.1856,692,5440,47000,53
2023,7513,7513,193440,72825,0.67,5068,110690,64127,0.21,1590,8548,3040,7513,203529,78000,7513,9637,1110,0.14,1033,208876,45481,0.13,981,119285,16262,0.84,6289,87426,21468,8711,485785,58175,10765,7454,7368,1262214525,6478,444573303.9,5754,24355222.86,119,190899.63,5740,24525699.94,6158,474363702.4,178,968293,1455,2789,-0.1541,0.0256,40,174,723,237,103,20,104,1355,585.8571429,-0.091685714,-0.082442857,258,2716,50134,40
2024,7795,7795,130935,66246,0.76,5931,103250,68585,0.2,1551,2079,876,7795,136068,69861,7795,4911,1022,0.14,1118,165537,33754,0.14,1058,98094,13558,0.83,6466,53076,19314,9410,207643,56708,11078,7650,7604,900740040,6675,281365256.3,5861,17101378.58,233,342024.36,5853,17428098.43,6305,297779322,210,1207014,1725,2205,-0.2737,0.125,36,401,905,213,82,37,97,1735,625.5714286,-0.061442857,0.100757143,385,3470,42911,36
2025,5362,5362,162698,72051,0.68,3656,110441,72358,0.2,1086,7438,1396,5362,171215,76592,5362,8061,1055,0.13,680,226899,37036,0.12,640,135691,16281,0.82,4377,71157,22288,6304,391223,67080,7182,5364,5299,757478586,4594,253621869.1,3977,14425907.62,141,198949.63,3970,14543827.38,4308,262734353.3,113,603584,2700,2877,0.5789,-0.2821,20,233,532,223,69,20,78,1150,808.4285714,-0.0736,0.179385714,243,2305,28658,20
2026,24495,24495,102915,60781,0.81,19884,88800,63992,0.16,3802,2587,680,24495,107015,64130,24495,3969,953,0.14,3366,81801,27754,0.13,3119,47773,11695,0.84,20500,38378,16764,35554,116262,21958,30396,24881,24701,2359679884,21528,682210042.2,17597,42919065.78,809,1238742.78,17586,44135777.85,20501,727025775.2,646,3638362,1550,2165,0.1273,0.7097,159,1836,3962,932,236,357,501,7824,718.5714286,-0.119214286,0.089857143,1698,15648,159570,159
2027,6139,6139,198828,78850,0.63,3844,116634,74974,0.22,1375,9172,4095,6139,211931,83761,6139,12564,1196,0.12,736,198032,40392,0.11,691,120457,20939,0.82,5039,91326,24673,6894,653122,74659,7306,6089,6006,1143325839,5322,413801094.9,4660,21998780.49,159,259750.38,4650,22237881.7,5006,439386279,112,748631,1650,2166,-0.2826,0.4286,50,330,577,281,55,32,129,1404,676.2857143,-0.0276,-0.010171429,264,2808,30571,50
2028,3517,3517,242428,72980,0.69,2430,101028,70000,0.2,705,9686,3571,3517,249199,76223,3517,6481,1149,0.11,396,193304,31932,0.11,370,133488,15264,0.83,2926,115069,21468,4040,417940,53365,4686,3505,3469,562126325,3085,194951242.8,2698,10751146.05,103,159072.22,2691,10847151.68,2900,206776058.5,83,470737,1425,2112,-0.1322,0.4667,20,91,522,162,39,5,64,885,560.4285714,-0.025285714,-0.050971429,137,1768,20644,20
2029,7071,7071,118861,65020,0.69,4890,93478,63762,0.19,1368,9066,2651,7071,124993,69583,7071,5890,972,0.13,950,152891,42392,0.13,897,98803,19206,0.82,5801,47433,19038,8018,351588,56069,9400,7021,6954,827864853,6087,260416421,5312,15737648.94,129,180972.42,5302,15899473.45,5713,276973920.6,187,1064849,1733,2293,0.0073,0.027,38,267,984,288,78,20,113,1756,606.4285714,-0.0649,-0.057085714,256,3506,38716,38
2030,10040,10040,181954,69428,0.62,6262,114849,58558,0.24,2362,10093,5196,10040,196467,74399,10040,13918,786,0.12,1246,266528,45930,0.11,1149,185618,19416,0.81,8085,82108,21827,10683,506536,73477,13914,9956,9824,1774972886,8536,634657637.7,7516,34191523.55,146,221208.82,7498,34351765.58,8032,666743811.4,228,1420198,2725,3150,-0.1537,0.2581,39,105,524,229,167,5,100,1134,821.2857143,-0.066114286,0.032342857,179,2264,71133,39
2031,23350,23350,94736,62988,0.81,18868,87178,66933,0.18,4097,1838,263,23350,98551,65833,23350,3689,1056,0.12,2718,102354,35000,0.11,2551,52786,13218,0.83,19339,33982,17254,28726,157618,46170,32321,23425,23264,2113046250,20319,584622053,17464,38936878.13,567,701535.53,17440,39613087.68,19290,621328113.6,656,3550534,1200,1602,0.2766,0.3718,107,1317,3746,713,224,73,390,6463,720.7142857,-0.016842857,0.037071429,1191,12926,123099,107
2032,8359,8359,64428,45535,0.78,6493,63891,50944,0.21,1728,3921,2226,8359,66861,47901,8359,2299,533,0.1,815,115956,31525,0.09,754,83297,15398,0.72,6057,22525,12909,10500,116379,23284,15265,8495,8410,527538913,6675,124435434.6,5523,9394804.26,127,149271.68,5521,9539709.73,6176,132035402.9,414,2594485,1311,1476,-0.126,-0.1875,20,569,1136,429,148,89,240,2611,569.1428571,-0.0746,0.053385714,488,5222,68447,20
2033,7432,7432,73204,49668,0.79,5905,69244,53937,0.19,1383,3009,209,7432,76148,52054,7432,2853,597,0.11,799,117454,29420,0.1,722,67940,13006,0.75,5583,26401,14271,9041,137549,27848,10962,7380,7300,534891121,5906,138337968.8,4938,9698730.52,112,156646.21,4933,9833753.34,5549,146794932.8,361,2229142,959,1345,-0.4292,-0.0714,20,607,1172,279,98,36,112,2304,598.1428571,-0.088514286,0.084928571,441,4608,52016,20
2034,14437,14437,99220,65328,0.81,11731,89543,67971,0.2,2923,3288,328,14437,103184,68532,14437,3891,1115,0.12,1699,110503,31564,0.11,1618,66011,12513,0.84,12133,35547,18055,18450,168823,41545,19092,14456,14365,1316821642,12627,364846179,10870,24129491.22,474,622926.22,10866,24737291,12079,387243857.9,450,2616090,1573,1894,0.3469,0.1429,64,651,2237,574,164,38,171,3835,705,-0.055228571,0.035814286,842,7670,79370,64
2035,22141,22141,78096,52962,0.78,17202,73987,58560,0.22,4855,4406,1034,22141,81061,55204,22141,2897,780,0.11,2394,99967,28862,0.1,2194,67815,12574,0.78,17331,27429,14532,25713,150058,44631,33234,21634,21438,1634375358,17953,422744086.8,15166,29686500.91,399,553866.87,15163,30232768.91,16752,448075694.1,835,5022546,1205,1396,0.1055,0.3571,95,745,2319,845,312,20,241,4489,647.1428571,-0.0225,0.078742857,837,8971,178926,95
2036,17558,17558,68513,50874,0.81,14210,69491,56676,0.2,3576,988,-184,17558,71302,53142,17558,2734,908,0.1,1691,471541,32969,0.09,1601,463869,14795,0.78,13760,22059,13097,20427,136201,51402,26896,17087,16988,1117462114,14317,259432374.4,12258,20061085.44,288,365982.35,12248,20414321.22,13356,274549405,787,4611652,993,1156,-0.0507,0.7966,106,567,1584,804,325,20,137,3429,668.4285714,0.013042857,0.263142857,786,6866,191251,106
2037,10704,10704,83794,55923,0.82,8800,79172,60303,0.17,1779,-176,-633,10704,86945,58505,10704,3107,666,0.11,1193,86321,23731,0.1,1096,47255,10298,0.79,8478,30079,15629,13977,165921,31144,13842,10483,10419,851581363,8710,229351608,7442,15608494.63,265,361697.49,7429,15957705.36,8243,243224932.9,619,3887284,1170,1235,-0.0965,-0.1111,48,1415,1240,437,147,208,287,3734,650.2857143,-0.074142857,-0.034,776,7468,52363,48
2038,6326,6326,97633,67402,0.82,5212,91560,71350,0.2,1250,-220,-708,6326,101422,70698,6326,3671,1074,0.13,814,101261,30075,0.12,749,62096,13071,0.84,5309,34302,19041,7686,196380,76392,8669,6205,6162,570502824,5380,157104898.5,4864,10843934.87,127,182664.8,4863,11020767.45,5140,166499053.2,239,1421878,1765,1822,0.2386,0.0435,20,464,513,307,66,123,191,1664,574.8571429,-0.037914286,0.117814286,294,3328,43142,20
2039,6058,6058,106474,74520,0.8,4852,103679,81006,0.21,1286,-1721,-1833,6058,110422,78288,6058,3846,1233,0.12,705,116857,29417,0.11,666,79423,12954,0.83,5022,39365,22345,7399,203913,85318,7922,5943,5896,603905116,5193,171845157,4694,11420762.49,179,271028.94,4693,11687357.09,4973,182529532.7,158,876552,1803,1649,0.3749,0.3333,20,422,522,276,59,20,99,1402,606.2857143,-0.043985714,0.007085714,334,2800,34187,20
2040,13870,13870,92048,66946,0.84,11645,90068,71932,0.19,2609,-1051,-1030,13870,95324,69808,13870,3223,1072,0.12,1627,104870,31860,0.11,1537,67714,12344,0.84,11620,31398,19016,16800,156516,75158,20861,13449,13375,1177089435,11765,312506223.6,10695,22414983.97,310,375233.23,10686,22770301.36,11226,332067802.4,583,3547066,1465,1422,0.1673,0.125,81,588,1211,749,165,64,293,3070,644.5714286,-0.039857143,-0.035171429,565,6140,97700,81
2041,11253,11253,127145,74951,0.76,8508,114821,81362,0.23,2548,-470,-296,11253,132598,78650,11253,5279,1178,0.12,1371,126322,32913,0.12,1316,73234,13067,0.82,9255,51178,23335,13500,307450,97390,14753,11088,10996,1418296980,9621,451556006.7,8713,27207443.5,268,447655.16,8704,27630322.26,9134,479528852.5,332,2003567,1900,2036,0.2471,0.1296,61,565,1001,452,116,86,199,2419,713.5714286,-0.036657143,0.035071429,442,4838,71323,61
2042,13578,13578,76145,59023,0.87,11828,74012,62082,0.15,2032,1155,-315,13578,78785,61151,13578,2550,772,0.12,1590,62024,21306,0.11,1437,37332,9174,0.83,11322,23955,15324,17557,113790,36761,17720,13403,13321,954465726,11612,227261147.6,10290,17647310.85,374,451728.48,10282,18075912.75,11129,241524465.1,899,5429037,1340,1252,0.2523,0.102,54,1285,1290,673,233,376,659,4516,603.2857143,-0.073914286,0.2708,994,9032,76165,54
2043,6592,6592,86246,73796,0.9,5946,86331,77414,0.16,1080,-2638,-1784,6592,89161,76868,6592,2892,1087,0.11,721,70497,25520,0.1,670,42784,9752,0.88,5830,26325,19447,7693,115712,55016,6850,6057,6038,496913777,5517,122464358,5056,9383286.35,230,269748.15,5058,9651399.65,5383,130847862.8,210,1312956,999,1120,0.0737,0.4074,38,436,775,211,49,20,131,1629,600.1428571,-0.053271429,-0.041157143,323,3251,31725,38
2044,5438,5438,69005,58074,0.88,4763,71343,62440,0.16,869,-2660,-2019,5438,71414,60073,5438,2355,912,0.12,638,154511,23314,0.11,585,144122,10707,0.84,4567,20026,14501,6775,99061,46857,7192,5305,5271,349276898,4656,78083829.61,4104,6439546.14,142,189994.48,4104,6629417.18,4445,83328876.52,295,1723310,1251,1223,0.2967,1,20,198,427,266,96,20,138,1142,638.8571429,-0.021471429,0.092185714,206,2287,38614,20
2045,4081,4081,96641,55894,0.75,3045,87004,60985,0.27,1094,5266,2610,4081,100541,58514,4081,3744,771,0.11,448,138439,42835,0.1,427,84108,16938,0.79,3218,37320,16677,4492,241541,87302,6651,4042,4019,388434485,3445,112396998.9,3023,7381336.44,51,89696.4,3023,7471032.84,3186,119702650.3,117,656338,2050,2090,0.1233,0.3,20,42,133,93,49,5,20,350,553,-0.005942857,0.263228571,103,692,34457,20
2046,16983,16983,86678,59470,0.78,13220,83438,67142,0.26,4334,1153,-178,16983,90109,62424,16983,3343,944,0.1,1727,112977,30000,0.1,1642,80547,12764,0.8,13662,30695,17107,19183,192396,79942,25180,16655,16555,1385564098,14247,367684007.7,12601,26054548.89,283,482407.77,12597,26525229,13299,391008840.5,521,2994184,1289,1407,0.2888,0.3962,74,273,1589,785,164,20,174,2996,548.7142857,-0.026742857,-0.058342857,505,6001,145980,74
2047,8061,8061,98108,65217,0.76,6142,91540,71423,0.25,1984,1225,20,8061,102207,68776,8061,3989,1057,0.1,822,159486,31842,0.1,774,115251,13180,0.81,6553,36258,19404,9177,268797,85257,11378,7920,7861,741224993,6808,207784238.3,6056,13992549.03,174,275713.93,6055,14267100.1,6417,220829367.9,216,1137850,1343,1466,0.0407,0.3714,48,202,988,381,78,5,159,1818,644.8571429,-0.029671429,0.209228571,396,3631,53486,48
2048,5330,5330,80694,60483,0.86,4579,77488,63750,0.17,892,556,174,5330,83464,62749,5330,2702,846,0.12,635,118750,25712,0.11,598,90932,9556,0.83,4447,26117,16072,6586,136053,51113,7701,5242,5219,409096019,4599,102806263.3,4140,7683338.91,134,174308.16,4136,7848711.52,4390,109620104.9,322,1774045,1722,1597,0.3887,0.2353,20,521,463,248,80,73,167,1552,525.1428571,-0.055942857,-0.062857143,259,3104,31365,20
2049,7930,7930,75734,58652,0.86,6857,75429,62815,0.15,1222,455,-574,7930,78342,60744,7930,2544,810,0.12,920,59602,22180,0.11,850,31179,9151,0.83,6555,23861,15548,9822,120136,44584,10455,7593,7540,547785766,6534,131872253.8,5853,10248469.06,174,237096.45,5851,10484109.15,6224,140776344.1,499,3020977,1354,1770,0.3088,0.9412,33,819,878,257,105,74,212,2345,524.8571429,-0.029042857,0.023928571,432,4690,40055,33
2050,5931,5931,82369,64504,0.88,5232,81519,69095,0.16,972,-2780,-1872,5931,85307,67165,5931,2870,884,0.11,628,73450,26000,0.1,579,42177,10629,0.83,4931,27121,17959,7295,118720,43662,6705,5729,5699,465539277,4949,119955565.8,4377,8649924.36,178,209611.63,4379,8859044.37,4748,127942648.5,326,2200570,865,1035,0.109,0.087,20,946,740,174,39,80,265,2244,594.4285714,-0.057842857,0.100442857,466,4488,44218,20
2060,11199,11199,117377,69913,0.78,8746,96944,74929,0.2,2205,821,414,11199,121810,73308,11199,4304,831,0.09,1009,156116,29655,0.08,930,103493,11765,0.82,9214,46077,20458,13155,285236,52237,12268,10970,10855,1241978732,9451,382662987.2,7967,21842880.8,336,465013.1,7961,22300711.79,8938,404964856.7,276,1463273,1081,1206,-0.202,0,60,1426,1482,454,83,234,235,3914,574.8571429,-0.073342857,-0.000357143,783,7828,67828,60
2061,4665,4665,136681,77413,0.73,3418,114542,80754,0.23,1054,2956,766,4665,143486,81156,4665,6500,985,0.09,406,165111,28004,0.08,371,101234,10943,0.82,3839,56244,24028,5509,411681,57460,5681,4567,4504,559650771,3936,176326407.9,3388,9884032.34,177,263646.54,3383,10143004.28,3770,185743056.5,103,621755,1888,1909,0.498,1,34,649,743,202,20,101,136,1850,637.7142857,-0.075128571,0.261457143,424,3701,24295,34
2062,4841,4841,110259,73128,0.77,3750,102652,79815,0.21,998,1823,-187,4841,114385,76630,4841,4046,1048,0.11,513,131674,36201,0.1,492,69404,13396,0.82,3992,41638,22014,5594,278184,95796,6782,4752,4721,509085753,4166,149559050,3730,9578307.42,70,149968.03,3727,9727135.85,3949,158571845.6,104,504644,1670,1637,0.5182,0.36,34,274,623,200,53,20,92,1258,568,-0.0366,0.015371429,237,2520,32595,34
2063,4338,4338,169142,72508,0.63,2743,131074,72017,0.25,1069,5895,2940,4338,175525,77698,4338,6202,901,0.1,426,207026,40681,0.1,418,110490,17878,0.79,3443,77497,24179,4529,508037,135988,5931,4261,4227,721666286,3576,254056490.2,3196,13965792.05,58,87341.75,3189,14038537.37,3355,270368931.3,86,395523,2820,2641,0.2261,-0.2105,20,53,136,92,83,5,20,394,550.7142857,-0.026542857,-0.003671429,83,783,38160,20
2064,6550,6550,87607,58360,0.81,5273,84062,65255,0.2,1323,-2175,-1430,6550,90652,61256,6550,3019,690,0.09,580,90478,26124,0.08,540,46692,10746,0.79,5193,31876,16965,7418,180043,47839,8641,6351,6298,527589968,5310,141544760.7,4523,9613270.08,97,112074.19,4519,9720790.8,5007,150132894.8,224,1223529,1142,1549,0.2987,1.2,20,150,832,163,48,20,87,1306,540.1428571,-0.035028571,0.032585714,222,2606,31166,20
2065,22180,22180,101901,71048,0.81,17891,95707,76003,0.19,4317,-212,-649,22180,105663,74050,22180,3689,890,0.09,1968,134043,28570,0.08,1818,88873,11036,0.84,18555,36703,20286,25346,227691,63325,27175,21695,21536,2115292451,18871,596870155.9,16638,39164267.48,498,761160.52,16625,39812421.34,18060,631433452.1,510,2826839,1260,1444,0.12,0.5294,156,2072,2712,1008,200,136,362,6490,650.4285714,-0.074528571,-0.0093,1211,12980,117956,156
2066,21924,21924,104002,65730,0.78,17181,95318,70610,0.21,4539,-446,-1182,21924,108073,68425,21924,3821,882,0.09,2020,156904,33774,0.09,1906,89966,13370,0.82,17875,39454,19101,24063,252635,72283,27623,21168,20974,2102495449,18012,610315840.5,16022,39756864.4,370,546418.92,16009,40263942.31,17057,648762091.8,556,2984609,945,1286,-0.0233,0.2281,140,812,2149,723,232,20,216,4156,648.8571429,-0.047257143,-0.260757143,600,8308,129303,140
2067,17487,17487,73910,45411,0.72,12678,76245,55000,0.24,4248,-683,-904,17487,76426,47607,17487,2421,409,0.08,1455,99168,28895,0.08,1332,66845,13662,0.73,12719,27956,14029,19346,149074,28771,22621,17155,16916,1202407653,13325,308032862.6,10541,20257638.35,238,308282.21,10528,20536817.89,12356,323622688.2,462,2537459,1636,1714,0.3194,0.102,54,1216,1672,687,242,51,200,4068,657,-0.050485714,-0.105642857,735,8136,97872,54
2068,11069,11069,121899,65166,0.72,8017,109437,70913,0.22,2482,2018,358,11069,126355,68541,11069,4213,810,0.1,1076,160600,36690,0.09,1017,104607,12909,0.79,8764,51097,21064,12094,292841,103690,15870,10973,10856,1256426463,9101,391281214.2,8120,23971260.49,132,215124.78,8111,24179217.13,8580,416028362.9,273,1622174,2490,2338,0.3085,0.4286,50,153,492,319,220,47,87,1318,699.8571429,-0.030442857,-0.213114286,192,2636,75223,50
2069,9760,9760,122446,58762,0.68,6660,106974,63149,0.24,2370,1830,514,9760,127459,62228,9760,4837,702,0.09,898,177154,38084,0.09,830,109110,15841,0.77,7506,53173,19862,10334,352070,92364,13283,9413,9325,1099902290,7720,349960840.1,6782,20946555.22,98,169323.74,6769,21039124.83,7228,369523096.6,214,1151544,2370,2355,-0.0125,0.1034,32,118,314,214,206,20,53,924,638.2857143,0.007671429,-0.0621,131,1849,59504,32
2070,9482,9482,112003,57868,0.69,6498,99555,63192,0.24,2319,833,-12,9482,117141,61310,9482,4996,660,0.09,850,188810,36962,0.08,793,130528,13595,0.76,7242,47741,19280,9793,328395,88218,12277,9222,9133,1044068643,7499,328102730.4,6521,19651930.13,101,182362.55,6509,19808063.33,7000,347152111.4,250,1277885,2158,2872,0.1822,0,36,196,362,245,214,20,42,1070,681.2857143,-0.045714286,-0.007485714,205,2149,71251,36
2071,9052,9052,109323,53936,0.65,5903,97336,60760,0.26,2388,981,-207,9052,113837,56898,9052,4243,550,0.09,805,234390,41633,0.08,750,161303,16726,0.74,6687,48484,18808,9249,342039,72454,12160,8969,8828,964977780,7151,300634542,6168,18134172.54,96,131891.33,6162,18254133.12,6638,319555492.4,210,1101863,1225,2231,-0.2794,1.2105,42,148,356,244,229,5,45,1023,648.1428571,-0.039471429,0.058114286,184,2050,79927,42
2072,5659,5659,92241,51461,0.7,3957,87875,59495,0.24,1345,-1447,-1308,5659,97279,53639,5659,4597,517,0.08,463,129468,34340,0.08,430,83130,15350,0.73,4107,39121,16939,5813,265413,56218,6593,5351,5273,486356449,4242,142839072,3584,9026958.61,57,72875.81,3578,9094224.12,3909,151377970.7,152,856577,1155,1569,0.252,0.2273,20,233,414,220,121,5,20,1020,632.2857143,-0.004928571,-0.028157143,193,2033,46901,20
